Region,Product,Capacity,Status
California,Model 3 / Model Y,>550,000,Production
California,Model S / Model X,100,000,Production
Shanghai,Model 3 / Model Y,>950,000,Production
Berlin,Model Y,>375,000,Production
Texas,Model Y,>250,000,Production
Texas,Cybertruck,>125,000,Production
Texas,Cybercab,-,Tooling
Nevada,Tesla Semi,-,Tooling
TBD,Roadster,-,Design development
California,Megapack,40 GWh,Production
Nevada,Powerwall,>6 GWh,Production
Shanghai,Megapack,40 GWh,Production
Texas,Megapack,-,Construction
California,Optimus,-,Construction
